identifier,name,category,type,dimension,description,note,image,is_active
women_tops,Women Tops,women,top,"bust, waist, us, us_numeric, uk, germany, france, italy, spain, japan, australia",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,women-top.png,1
men_tops,Men Tops,men,top,"neck, arm_length, chest, waist, us",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,men-top.png,1
girl_tops,Girl Tops,girl,top,"chest, waist, height, weight, age, us_numeric",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,girl-top.png,1
boy_tops,Boy Tops,boy,top,"chest, waist, height, weight, age, us_numeric",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,boy-top.png,1
women_bottoms,Women Bottoms,women,bottom,"waist, hips, us, us_numeric, uk, germany, france, italy, spain, japan, australia",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,women-bottom.png,1
men_bottoms,Men Bottoms,men,bottom,"waist, us, uk, france, europe, japan",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,men-bottom.png,1
girl_bottoms,Girl Bottoms,girl,bottom,"waist, seat, height, weight, age, us, us_numeric",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,girl-bottom.png,1
boy_bottoms,Boy Bottoms,boy,bottom,"waist, seat, height, weight, age, us, us_numeric",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,boy-bottom.png,1
women_dresses,Women Dresses,women,dress,"bust, natural_waist, hips, us, us_numeric, uk, germany, france, italy, spain, japan, australia",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,women-dress.png,1
men_suit,Men Suit,men,suit,"neck, arm_length, chest, waist, us, us_numeric, uk, europe, japan",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,men-suiting.png,1
girl_dresses,Girl Dresses,girl,dress,"chest, waist, height, weight, age, us_numeric",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,girl-dresses.png,1
women_swim,Women Swim,women,swim,"torso, bust, natural_waist, hips, us, us_numeric, france, europe",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,women-swim.png,1
girl_swim,Girl Swim,girl,swim,"chest, waist, height, weight, age, us_numeric",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,girl-swim.png,1
women_outerwear,Women Outerwear,women,outerwear,"arm_length, bust, natural_waist, hips, us, us_numeric, uk, germany, france, italy, spain, japan, australia",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,women-outwear.png,1
men_outerwear,Men Outerwear,men,outerwear,"neck, arm_length, chest, waist, us, us_numeric, uk, europe, japan",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,men-outerwear.png,1
girl_outerwear,Girl Outerwear,girl,outerwear,"chest, waist, height, weight, age, us_numeric",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,girl-outerwear.png,1
boy_outerwear,Boy Outerwear,boy,outerwear,"chest, waist, height, weight, age, us_numeric",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,boy-outerwear.png,1
women_shoes,Women Shoes,women,shoes,"foot, us, us_numeric, uk, europe, japan, australia",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,,1
men_shoes,Men Shoes,men,shoes,"foot, us_numeric, uk, europe, japan, australia",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,,1
girl_shoes,Girl Shoes,girl,shoes,"foot, us, us_numeric, uk, europe",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,,1
boy_shoes,Boy Shoes,boy,shoes,"foot, us, us_numeric, uk, europe",All conversions are approximate. Fits may vary by style or personal preference, sizes may vary by manufacturer.,,1
