"There is something error.","There is something error."
"The order action is not available.","The order action is not available."
"Invalid amount for capture.","Invalid amount for capture."
"The payment is not completed?","The payment is not completed?"
"Click to Repay","Click to Repay"
OR,OR
"The payment is completed.","The payment is completed."
"Your order has been received. Order No.: %1","Your order has been received. Order No.: %1"
"Grand Total:","Grand Total:"
"Please use wechat to scan the QR Code to complete the payment.","Please use wechat to scan the QR Code to complete the payment."
"Your order has been received.","Your order has been received."
"Click to Pay","Click to Pay"
"There is something wrong, please contact the website owner","There is something wrong, please contact the website owner"
"Your order number is: %1.","Your order number is: %1."
"Your order # is: <span>%1</span>.","Your order # is: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","We'll email you an order confirmation with details and tracking info."
"Continue Shopping","Continue Shopping"
"Place Order","Place Order"
"Wechat Pay","Wechat Pay"
Enabled,Enabled
Title,Title
"APP ID","APP ID"
"Merchant ID","Merchant ID"
"Private Key","Private Key"
"APP SECRET","APP SECRET"
"Sign Type","Sign Type"
"Apiclient Cert Path","Apiclient Cert Path"
"Apiclient Key Path","Apiclient Key Path"
Instructions,Instructions
"Sort Order","Sort Order"
Logo,Logo
"Your payment has been received.","Your payment has been received."
